Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Included / International,Price / International,Compare At Price / International,Status
bean-bag-chair-comfy-lounge-chair-with-armrest-and-back-support-memory-foam-filled-sofa-chair-with-washable-cover-for-bedroom,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71vKfvYWdqL._AC_SL1500__1.jpg?v=1695529855,11,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-comfy-lounge-chair-with-armrest-and-back-support-memory-foam-filled-sofa-chair-with-washable-cover-for-bedroom,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/81hKHrDNUdL._AC_SL1500.jpg?v=1695529855,12,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-cover-not-a-full-bean-bag-large-round-soft-fluffy-ultra-fine-fiber-velvet-sofa,"Bean Bag Chair Cover (Not A Full Bean Bag), Large Round Soft Fluffy Ultra-Fine Fiber Velvet Sofa","<ul class=""a-unordered-list a-vertical a-spacing-mini"" data-mce-fragment=""1"">
<li class=""a-spacing-mini"" data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">PURCHASE NOTE: Cover only. This is just a bean bag chair cover, and does not come with inner filling material.</span></li>
<li class=""a-spacing-mini"" data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">HIGH QUALITY &amp; COMFORTABLE: Our super soft bean bag chair cover is made of ultra-fine fiber material, with high-quality suede fabric that is soft, comfortable, skin-friendly, wear-resistant, stain-resistant, and fade-resistant. It is also suitable for decoration in the living room, bedroom, and outdoor areas.</span></li>
<li class=""a-spacing-mini"" data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">STABLE &amp; DURABLE: With its high-quality zipper design, it's easier to open and has a longer lifespan, ensuring a more stable seal. The hidden zipper design protects your floor and prevents any unexpected accidents.</span></li>
<li class=""a-spacing-mini"" data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">MULTI-FUNCTIONAL: This bean bag chair cover is easy to move and serves as a modern home accessory, perfect for placement in the living room, bedroom, or outdoor garden area. It’s ideal for adults and teenagers to sit, nap, and relax in a leisurely way. Additionally, the cover can also be used as a storage bag for children's stuffed toys, helping to keep the room tidy.</span></li>
<li class=""a-spacing-mini"" data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">MULTIPLE OPTIONS: Our extra-large bean bag chair covers come in three colors, black, dark gray, and light gray, and correspond to three sizes, 4 feet, 5 feet, and 6 feet. You can choose according to your needs.</span></li>
<li class=""a-spacing-mini"" data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">EASY TO MAINTAIN: Our extra-large bean bag cover is easy to clean, both machine washable and hand washable. Additionally, the material also features stain-resistant and fade-resistant capabilities.</span></li>
</ul>",My Store,Furniture > Chairs,Bean Bag,"Amazing Soft Sofa, Bean Bag, Bean Bag Chair, Modern, Removable, Round Bean Bag, Soft Chair, Traditional",true,Color,Black,,,,,"",0.0,shopify,997,deny,manual,299.00,999.00,true,true,"",https://cdn.shopify.com/s/files/1/0835/0508/6764/products/61Iw-hyg3oL._AC_SL1500.jpg?v=1695529952,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/61Iw-hyg3oL._AC_SL1500.jpg?v=1695529952,kg,,,true,true,,,active
bean-bag-chair-cover-not-a-full-bean-bag-large-round-soft-fluffy-ultra-fine-fiber-velvet-sofa,,,,,,,,,Dark Grey,,,,,"",0.0,shopify,1000,deny,manual,299.00,999.00,true,true,"",https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71L-TtIasQL._AC_SL1500.jpg?v=1695529952,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71gmgDAJpyL._AC_SL1500.jpg?v=1695529952,kg,,,,,,,
bean-bag-chair-cover-not-a-full-bean-bag-large-round-soft-fluffy-ultra-fine-fiber-velvet-sofa,,,,,,,,,Light Grey,,,,,"",0.0,shopify,1000,deny,manual,299.00,999.00,true,true,"",https://cdn.shopify.com/s/files/1/0835/0508/6764/products/816MwW5wmoL._AC_SL1500.jpg?v=1695529952,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71Bwl8sQ0xL._AC_SL1500.jpg?v=1695529952,kg,,,,,,,
bean-bag-chair-cover-not-a-full-bean-bag-large-round-soft-fluffy-ultra-fine-fiber-velvet-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71B4OJDw8bL._AC_SL1500.jpg?v=1695529952,4,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-cover-not-a-full-bean-bag-large-round-soft-fluffy-ultra-fine-fiber-velvet-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71gmgDAJpyL._AC_SL1500.jpg?v=1695529952,5,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-cover-not-a-full-bean-bag-large-round-soft-fluffy-ultra-fine-fiber-velvet-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71fvf3ZNpCL._AC_SL1500.jpg?v=1695529952,6,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-cover-not-a-full-bean-bag-large-round-soft-fluffy-ultra-fine-fiber-velvet-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/81mZYaykiaL._AC_SL1500.jpg?v=1695529952,7,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-cover-not-a-full-bean-bag-large-round-soft-fluffy-ultra-fine-fiber-velvet-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71ELf4rutgL._AC_SL1500.jpg?v=1695529952,8,,,,,,,,,,,,,,,,,,,,,,,,
